id;nombre;descripcion;precio;precio_gratis
1;Buckinghamshire Bike program;ubiquitous Towels;12607;17751
2;USB Gorgeous Slovenia;Soft;68258;81249
3;eyeballs Handcrafted;Administrator system Visionary;71939;12364
4;Computers;Shirt Cheese quantifying;70864;46034
5;Hat Tennessee Operations;Fresh International payment;64256;39512
6;Money schemas;Gloves frictionless;19273;53112
7;Litas concept red;Principal Mayotte;47788;58323
8;Gabon;eco-centric Versatile Tugrik;5581;13226
9;Savings Bedfordshire Soft;synthesizing;32422;29137
10;Unbranded Plastic;innovative evolve Borders;49154;34826
