id;codigo;nombre;descripcion;precio_base;moneda
1;User-centric Corner;Market;../fake-data/blob/hipster.txt;22559;target Rubber Avon
2;protocol Wooden;synthesizing;../fake-data/blob/hipster.txt;66333;yellow
3;Optional capacitor SMS;green Handmade virtual;../fake-data/blob/hipster.txt;75068;Island
4;Mouse Towels Borders;Avon;../fake-data/blob/hipster.txt;27663;collaboration virtual
5;deposit deposit Tuna;Movies;../fake-data/blob/hipster.txt;64118;bifurcated navigating
6;niches;Borders target whiteboard;../fake-data/blob/hipster.txt;71010;Rest clicks-and-mortar
7;Bedfordshire;services tan Small;../fake-data/blob/hipster.txt;93583;expedite Orchestrator Account
8;Computer;Chips connecting Sleek;../fake-data/blob/hipster.txt;26053;Total Avon Manager
9;XML integrate;hacking connect 1080p;../fake-data/blob/hipster.txt;71569;pink ubiquitous
10;policy Pizza;Berkshire transmitter Customer;../fake-data/blob/hipster.txt;89043;Future visionary multi-tasking
