id;codigo;nombre;descripcion;precio_adicional
1;Ergonomic;supply-chains Well;Hat;6670
2;Gambia Square;Card Tasty Auto;bypassing;74727
3;bricks-and-clicks hack functionalities;e-commerce;system Ergonomic leverage;96701
4;copying;Vatu;Regional;93434
5;Planner;orange Sausages;Account;56678
6;District Licensed;interface cyan;Direct Garden;71623
7;Small auxiliary;contingency Cambridgeshire;Squares Gorgeous blockchains;18341
8;Buckinghamshire;embrace;indexing;25611
9;Clothing Naira;redundant Personal California;parsing;66056
10;Car;Salvador invoice;Florida;80697
