id;id_dispositivo;codigo;nombre;descripcion;precio_base;moneda;fecha_venta;precio_final
1;19772;Director Plastic Usability;users Metal;Computer primary;91228;Baby;2024-11-25T20:10:49;81600
2;81279;Computer Maryland Antigua;optical Optimization viral;Refined Cambridgeshire;16715;International blue quantify;2024-11-25T05:44:38;69264
3;71975;Ball City;Incredible Investment withdrawal;open-source Product Account;55935;Tasty;2024-11-25T17:32:25;88819
4;40368;Borders Supervisor;Tuna;ROI bypassing;2885;plug-and-play;2024-11-25T08:10:59;76809
5;70354;Central;3rd;Mexico Director enable;57058;Computers;2024-11-26T01:49:38;75503
6;39134;pink Balanced Nevada;payment Clothing parse;incubate rich plug-and-play;18096;intuitive;2024-11-26T00:28:29;76133
7;94247;Frozen;Chicken application;Handcrafted circuit;39770;Incredible Bahamas;2024-11-25T03:25:14;9544
8;15127;Beauty;Pizza orchestration;Function-based Forint olive;70744;SSL orchid;2024-11-25T21:58:19;40176
9;87614;Lead;Loan unleash;integrate;62633;HDD interactive;2024-11-25T09:48:44;16912
10;55162;Dynamic Loan;silver cyan;Plastic Hat;87217;projection;2024-11-25T03:36:31;31895
